job_id,company_id,title,description,max_salary,min_salary,pay_period,formatted_work_type,location,applies,original_listed_time,remote_allowed,job_posting_url,application_type,expiry,formatted_experience_level,listed_time,sponsored,work_type,currency,compensation_type,average_salary,year
3693065530,1766026,"Customer Support Specialist, AMI","Job Description
Customer Support Specialist, AMIâ¯
Vivint is the #1 Home Automation & Security Company in the Nation. Our Account Management Innovation (AMI) team continues to grow. We are looking for high potential and quality individuals to join Vivintâs front-line ranks on Vivintâs primary growth engine. Our team is obsessed with our proven B2C process to ensure protection and peace of mind to all customers and homeowners nationwide. If you are a clear communicator and goal-driven, then join our award-winning department.â¯
A Day In The Life
Ourâ¯Support Specialistsâ¯receive inbound calls from new customers and provides world-class customer service. Every customer call is handled with excitement and the intent to go above and beyond. To ensure the customer has a smooth, positive transition from the point of sale to installing their equipment.
Working in this fast-paced position will provide insight into the sales process. Vivint systems and provide valuable communication skills that will help you succeed in any work setting.
What We Offer
Full-time employmentâ¯ $15.00/hr plus Commissions and Weekly Performance Bonusesâ¯ Paid training Variety of schedules available, the department is open seven days a week, 6:00 am - 11:00 pm MT
Expectations For Success
Those who excel adapt to new situations, handle change and balance multiple demands.â¯ We win together!â¯Support Specialistsâ¯are committed to their performance. They demonstrate a competitive and collaborative attitude to meet the team and department goals.â¯ Ourâ¯Support Specialistsâ¯strive to develop a growth mindset. They are coachable and willing to learn and apply feedback to their professional and personal goals. Support Specialistsâ¯take accountability and exhibit resilience to succeed on a competitive sales floor. 
Minimum Qualifications
High school degree or GED equivalent Ability to work on-site at our Provo locationâ¯ Ability to work designated shift full-time Proficient with essential computer functions and the ability to utilize software, databases, scripts, and other tools appropriately Ability to pass a background check and receive an Alarm License upon offer
Whyâ¯Youâll Love Working Here:â¯
FREE Daily on-site catered lunch/snack/drinks Access to our private health clinic, 24/7 Gym, basketball courts, sand volleyball pits and much more Mental health resources, including free, professional, and confidential counseling services available 24/7. Employee Resource Groups: Vivint Women, Vivint EDGE, Vivint Pride, Vivint Veterans Employee pricing on Vivint products Opportunity to make a meaningful impact in the communities where you work and live with our Vivint Gives Back organization Career development and leadership opportunities Discounts with various national companies and vendors Casual dress code 
Company Benefits
10 Paid Holidays Paid/Unpaid time off Medical/dental/vision/life coverage 401(k) Plan + Employer Match Paid Maternity, Paternity, & Adoption Leave Career Development and Leadership opportunities 
Vivint Values
Honesty and Integrity Come First â Do the right thing Customer Obsession is Our Advantage â A relentless passion to serve the customer Innovation is Essential â Todayâs innovation is tomorrowâs lifeblood We Win Together â Individuals win games; teams win championships Exceptional is Expected â Talk is cheap; create value, not just motion 
FIND OUT MORE ABOUT WHAT IT'S LIKE TO WORK HERE:
https://www.youtube.com/watch?v=d2f4KguloeU Vivint.com/Careers https://www.vivint.com/company/about-us 
Vivint, an equal opportunity employer, does not consider any protected traits (e.g., race, creed, color, religion, gender, national origin, non-job-related disability, age, or any other protected trait) when hiringâunder federal, state, and local laws. We are a drug-free environment. We do not conduct pre-employment drug screening; however, we do conduct random drug testing on site.
If you are an active Vivint employee, please apply through Workday by searching ""Find Jobs"".",83124.5,60300.0,HOURLY,Full-time,"Provo, UT",1.0,1690000000000.0,Unknown,https://www.linkedin.com/jobs/view/3693065530/?trk=jobs_biz_prem_srch,OffsiteApply,1700000000000.0,Entry level,01-01-1970 00:28,0,FULL_TIME,USD,BASE_SALARY,71712.25,1970
3701363325,2723,Stress Engineer,"In your role, you will
 Perform structural analysis using classical stress analysis methods and finite element analysis on secondary structures and aircraft interiors. Write structural substantiation reports that meet technical requirements for the program and certifying authority. Review structural repair drawings and provide analysis of repair. Coordinate with outside suppliers, internal departments and regulatory agencies regarding the design, installation, integration, testing and certification of modifications on all Bombardier platforms. Work in a team environment
As our ideal candidate
 You will hold a Bachelor of Science Engineering or equivalent and will have a minimum of two (2) years of practical stress analysis experience that include aircraft interiors. Understanding and experience with the aircraft structural modification and stress analysis process Understand the Finite element Analysis process You will have a working knowledge of applicable regulatory certification rules (FAA, EASA, TCCA). You will be proficient with MS Office (MS Word, Excel, Power Point, Access) You must be a self-starter and able to handle multiple initiatives effectively. You must exhibit excellent written and interpersonal communication skills. You should be an organized individual, able to work effectively with a variety of cross-functional individuals, departments and organizations with a general good attitude and disposition.
Bombardier is an Equal Opportunity Employer (EOE) and strongly supports diversity in the workplace. We thank all applicants for their interest; however, only those under consideration will be contacted.",83124.5,60300.0,,Full-time,"Wichita, KS",5.0,1690000000000.0,Unknown,https://www.linkedin.com/jobs/view/3701363325/?trk=jobs_biz_prem_srch,OffsiteApply,1700000000000.0,Entry level,01-01-1970 00:28,0,FULL_TIME,Unknown,,71712.25,1970
3701367766,164401,Projects Assistant Consultant,"Post of duty: Washington, DC

The IDB Group is a community of diverse, versatile, and passionate people who come together on a journey to improve lives in Latin America and the Caribbean.

About This Position

The Housing and Urban Development Division (HUD) of the Climate Change and Sustainable Development Sector (CSD) is designed to work under a multisector approach, with the different operating divisions of the Bank, to promote a transversal and integral model for cities in the areas of Urban Development and Planning, Housing, and Heritage-related projects.

The CSD/HUD operational support team is looking for a proactive and highly organized Project Assistant Technical Support Consultant to work collaboratively with our team. As a consultant, you will provide support in the day-to-day operational processes and documentation management.

You will be working in the CSD/HUD back-office operational support team. This team is responsible for the preparation, processing, monitoring, and execution of the Bankâs operational programs (loans, technical cooperations, and economic and sector work products) and the necessary quality control in the Division.

What Youâll Do
Participate in the drafting and proofreading of operational documents, ensuring their compliance with internal policies and procedures. This activity includes the preparation of graphics, cost tables, and matrices, among other Bank standard operational documents.Conduct technical analyses and/or research in support of HUDâs operational activities.Guide professional and support staff in HQ and Country Offices on the preparation, scheduling, and processing of operational documents throughout IDBâs project cycle to obtain approval.Produce internal documentation required for operations processing, including memos and other communications.Perform administrative functions in the preparation and development of the activities and tasks of the operational team and the Division, such as processing mission travel documentation, replying to project/program-related inquiries, maintaining chronological and operation/country files, and forwarding official documents to a central file. Support your teamâs hiring needs for individual consultants and consulting firms by gathering, organizing, and processing documentation for the corresponding contract processes.Provide logistical support for project-related meetings and events. Use IDB tools and systems (CONVERGENCE, EzShare, etc.) to monitor CSD/HUDâs loan and TC pipeline and portfolio. Also, collect operational data and produce documents and reports, as needed. Work with the CSD/HUDâs Front Office to assist in administrative requirements related to operations, as needed.

What You'll Need

Education: Bachelorâs degree in Business Administration, International Business or related field.Experience: At least 2 years of relevant work experience. Having worked at International Organizations is a plus. Languages: Proficiency in Spanish and English, spoken and written, is required. Additional knowledge of French and Portuguese is preferable. 
Key Skills
Learn continuously.Collaborate and share knowledge.Focus on clients.Communicate and influence.Innovate and try new things.
Requirements

Citizenship:  You are a citizen of one of our 48-member countries. Consanguinity: You have no family members (up to the fourth degree of consanguinity and second degree of affinity, including spouse) working at the IDB, IDB Invest, or IDB Lab.
Type Of Contract And Duration

Type of contract:  International Consultant Full-Time. Length of contract: 6 months (with possible extension depending on performance).Work Location: On site.
What We Offer

The IDB group provides benefits that respond to the different needs and moments of an employeeâs life. These benefits include:
A competitive compensation packages.Leaves and vacations: 2 days per month of contract + gender- neutral parental leave.Health Insurance: the IDB Group provides a monthly allowance for the purchase of health insurance.Savings plan: The IDB Group cares about your future, depending on the length of the contract, you will receive a monthly savings plan allowance. We offer assistance with relocation and visa applications for you and your family when it applies.Hybrid and flexible work schedules.Development support: We offer learning opportunities to boost your professional profile such as seminars, 1:1 professional counseling, and much more. Health and wellbeing: Access to our Health Services Center which provides preventive care and health education for all employees.Other perks: Lactation Room, Daycare Center, Gym, Bike Racks, Parking, and others.
Our culture

At the IDB Group we work so everyone brings their best and authentic selves to work, willing to try new approaches without fear, and where they are accountable and rewarded for their actions.

Diversity, Equity, Inclusion and Belonging (DEIB) are at the center of our organization. We celebrate all dimensions of diversity and encourage women, LGBTQ+ people, persons with disabilities, Afro-descendants, and Indigenous people to apply.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job interview process. If you are a qualified candidate with a disability, please e-mail us at diversity@iadb.org to request reasonable accommodation to complete this application.

Our Human Resources Team reviews carefully every application. 

About The IDB Group

The IDB Group, composed of the Inter-American Development Bank (IDB), IDB Invest, and the IDB Lab offers flexible financing solutions to its member countries to finance economic and social development through lending and grants to public and private entities in Latin America and the Caribbean.

About IDB

We work to improve lives in Latin America and the Caribbean. Through financial and technical support for countries working to reduce poverty and inequality, we help improve health and education and advance infrastructure. Our aim is to achieve development in a sustainable, climate-friendly way. With a history dating back to 1959, today we are the leading source of development financing for Latin America and the Caribbean. We provide loans, grants, and technical assistance; and we conduct extensive research. We maintain a strong commitment to achieving measurable results and the highest standards of integrity, transparency, and accountability.

Follow Us

https://www.linkedin.com/company/inter-american-development-bank/

https://www.facebook.com/IADB.org

https://twitter.com/the_IDB

Additional Information
External Opening Date: Aug 22, 2023External Closing Date: Aug 29, 2023External Contact Email: hrsc@iadb.orgExternal Contact Name: HR Service Center Job Field: Technical Support",83124.5,60300.0,,Contract,"Washington, DC",36.0,1690000000000.0,Unknown,https://www.linkedin.com/jobs/view/3701367766/?trk=jobs_biz_prem_srch,OffsiteApply,1700000000000.0,Associate,01-01-1970 00:28,0,CONTRACT,Unknown,,71712.25,1970
3699417131,21836,"REMOTE Systems Software Architect - Rust, C/C++","Job Title:  REMOTE Systems Software Architect

Job Location:  Sunnyvale, CA or Seattle, WA (open to remote for strong candidates)

Compensation:  $175K - $225K+ base plus equity DOE

Requirements:  Systems Architecture, Rust, C/C++, Linux/Unix, Data Processing Systems

We are a 50-person startup company made up of passionate technologists & engineers from leading hardware and software companies including Apple, Oracle, Teradata, Facebook, AWS, Yahoo, Cavium, Fungible, etc. Our team has previously built highly successful hardware-software co-designed products and is now tackling complex challenges in an exciting and growing market. Analytics solutions for the next decade require groundbreaking innovations in the entire stack of data processing, from query optimizer to distributed data layer to accelerated compute engine.

Top Reasons to Work with Us
 Competitive Compensation ($175K - $225K+ base Depending on Experience) Comprehensive Benefits package including equity and flexible working arrangements! The chance to join a small start-up tackling challenging problems with huge upside potential!
What You Will Be Doing

We are looking for a deeply technical, highly experienced, and hands-on systems software developer to lead the architecture and development of complex system software for high-rate data processing systems. You will be developing a high-performance and scale-out infrastructure layer that moves data efficiently and securely between storage and compute. You will be the technical lead for major systems software modules.

What You Need for this Position

Must have a Bachelor's or Master's in Computer Science or a similar degree with the following:
 10+ years experience in building production systems software for data processing systems, network processing systems, file systems, storage systems, or similar. 5+ years experience as a technical lead for major systems software modules Rust (preferred) and/or C/C++ Linux/UNIX, Kernel, and user space interactions Experience in high throughput, low latency data flow and data processing Experience with the hardware-software interface, in compute, memory, and I/O domains, and in optimizing design across this interface. Strong fundamentals in developing performant, reliable, scalable software and systems
Benefits
 Vacation/PTO Medical Dental Vision 401k
So, if you are a Systems Software Architect with Rust experience, please apply today! or send an updated copy of your resume to Mike.Vandenbergh@CyberCoders.com for immediate consideration!

Colorado employees will receive paid sick leave. For additional information about available benefits, please contact Mike Vandenbergh

Email Your Resume In Word To

Looking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:

Mike.Vandenbergh@CyberCoders.com
Please do NOT change the email subject line in any way. You must keep the JobID: linkedin : MV1-1750942 -- in the email subject line for your application to be considered.***
Mike Vandenbergh - Lead Recruiter - CyberCoders

Applicants must be authorized to work in the U.S.

CyberCoders is proud to be an Equal Opportunity Employer

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

Your Right to Work â In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.

",225000.0,175000.0,YEARLY,Full-time,"Sunnyvale, CA",3.0,1690000000000.0,1,https://www.linkedin.com/jobs/view/3699417131/?trk=jobs_biz_prem_srch,SimpleOnsiteApply,1700000000000.0,Mid-Senior level,01-01-1970 00:28,0,FULL_TIME,USD,BASE_SALARY,200000.0,1970
3693066925,28734,Manufacturing Financial Analyst,"Essential Job Functionsâ¢ Perform required monthly financial close related activities including preparing and submitting journal entries, financial reporting, and reconciliationsâ¢ Update and monitor key performance indicators and key financial metrics, highlighting trends and analyzing variances, to understand and be able to communicate the financial impact to transportation cost for each divisionâ¢ Analyze financial information and produce reporting to provide accurate and timely financial information to management for decision making purposesâ¢ Provide senior management and the operations teams with in-depth financial analysis of actual spend to drive insights on trends, opportunities to optimize costs, and drive better decision makingâ¢ Deliver ad hoc reporting and analysisâ¢ Perform other duties as assigned The above statement describes the general nature and level of work only. They are not an exhaustive list of all required responsibilities, duties, and skills. Other duties may be added, or this description amended at any time. Qualificationsâ¢ Bachelor's Degree in Accounting or Financeâ¢ 2-4 years of experience in financial close and analysisâ¢ Strong analytical skills requiredâ¢ Manufacturing company experience preferredâ¢ Must be able to exercise moderate independent judgment with direction from supervisorâ¢ Advanced Microsoft Excel skills required, Proficient in use of other MS Office productsâ¢ Detail oriented and highly analytical, able to translate data and trends into clearly understandable messagingâ¢ Highly organized and self-motivated individual with a strong work ethic and ability to thrive as part of a financial management teamâ¢ Quality program certification (Six Sigma, ISO, LEAN, etc.) desired 
We are KIK!We create the products and brands that people trust to clean, sanitize, and protect their homes, pools, and cars. We are one of North Americaâs largest independent consumer product manufacturers with 20 North American manufacturing facilities. We also operate globally in Europe, Asia, UK, Australia, New Zealand, and South Africa. We are known by our portfolio of over 40 brands including Spic and SpanÂ® and CometÂ® cleaning products, CloroxÂ® Pool&Spaâ¢ (under license), BioGuardÂ®, and Natural ChemistryÂ® pool chemicals, and PrestoneÂ® and HoltsÂ® automotive performance chemicals. We are also the #1 producer in North America for store-brand (âprivate labelâ) bleach and a leading private label provider of laundry detergent and additives, dishwashing products, general purpose cleaning and other home care products.Our global team of over 2,500 employees drive our capabilities in product development, product formulation, strategic sourcing, manufacturing, packaging design, brand marketing, project management, quality assurance, compliance, distribution, and logistics.Our organization is constantly evolving and is driven by a set of âOne KIKâ values â a dedication to following through on commitments in a customer-focused, profit-motivated way; while never compromising on safety, ethics, or integrity.
A Career with KIK Offers:KIK offers very competitive salary and comprehensive benefits including health, wellness, dental, vision, life, and disability insurance. You can plan for your future with KIK's retirement savings options including employer match. KIK also recognizes the importance of continuing education and offers Education Assistance to our employees to encourage continued personal development and growth.",83124.5,60300.0,,Full-time,"Lawrenceville, GA",23.0,1690000000000.0,Unknown,https://www.linkedin.com/jobs/view/3693066925/?trk=jobs_biz_prem_srch,ComplexOnsiteApply,1700000000000.0,Mid-Senior level,01-01-1970 00:28,1,FULL_TIME,Unknown,,71712.25,1970
3677721266,313823,B767/757 First Officer - Non-Type Rated,"B767/757 First Officer Opportunity - Home Based!
CAE Parc Aviation are currently recruiting Non-Type Rated First Officers for a distinguished client of CAE. The Part 121 cargo company operates a global fleet of aircrafts and provides a wide range of services including freight forwarding, military and government contracts. They are the largest carrier for a worldwide distribution and logistics company.
Benefits:Home-BasedQuick Captain Upgrade TimeCompetitive CompensationStrong retirement plan including matching 401kNo training contract
Key Requirements:At least 1,500+ hours Total TimeUnrestricted FAA ATP with multi-engine rating (OR ATP written exam completed and passed within the last 12 months)Hold a First-Class Medical CertificateEligible to work in U.S. without sponsorshipBased within one of the 48 contingent states
We encourage you to apply today!
CAE Parc Aviation, acting on behalf of our client is committed to a policy of equal opportunities for all work seekers. Personal data provided by applicants will be used strictly in accordance with our personal data policy. Please review the CAE Inc Privacy Policy https: https://www.cae.com/privacy-policy/",83124.5,60300.0,,Full-time,United States,,1690000000000.0,1,https://www.linkedin.com/jobs/view/3677721266/?trk=jobs_biz_prem_srch,ComplexOnsiteApply,1700000000000.0,Not Specified,01-01-1970 00:28,0,FULL_TIME,Unknown,,71712.25,1970
3699410945,21836,"REMOTE Systems Software Architect - Rust, C/C++","Job Title:  REMOTE Systems Software Architect

Job Location:  Sunnyvale, CA or Seattle, WA (open to remote for strong candidates)

Compensation:  $175K - $225K+ base plus equity DOE

Requirements:  Systems Architecture, Rust, C/C++, Linux/Unix, Data Processing Systems

We are a 50-person startup company made up of passionate technologists & engineers from leading hardware and software companies including Apple, Oracle, Teradata, Facebook, AWS, Yahoo, Cavium, Fungible, etc. Our team has previously built highly successful hardware-software co-designed products and is now tackling complex challenges in an exciting and growing market. Analytics solutions for the next decade require groundbreaking innovations in the entire stack of data processing, from query optimizer to distributed data layer to accelerated compute engine.

Top Reasons to Work with Us
 Competitive Compensation ($175K - $225K+ base Depending on Experience) Comprehensive Benefits package including equity and flexible working arrangements! The chance to join a small start-up tackling challenging problems with huge upside potential!
What You Will Be Doing

We are looking for a deeply technical, highly experienced, and hands-on systems software developer to lead the architecture and development of complex system software for high-rate data processing systems. You will be developing a high-performance and scale-out infrastructure layer that moves data efficiently and securely between storage and compute. You will be the technical lead for major systems software modules.

What You Need for this Position

Must have a Bachelor's or Master's in Computer Science or a similar degree with the following:
 10+ years experience in building production systems software for data processing systems, network processing systems, file systems, storage systems, or similar. 5+ years experience as a technical lead for major systems software modules Rust (preferred) and/or C/C++ Linux/UNIX, Kernel, and user space interactions Experience in high throughput, low latency data flow and data processing Experience with the hardware-software interface, in compute, memory, and I/O domains, and in optimizing design across this interface. Strong fundamentals in developing performant, reliable, scalable software and systems
Benefits
 Vacation/PTO Medical Dental Vision 401k
So, if you are a Systems Software Architect with Rust experience, please apply today! or send an updated copy of your resume to Mike.Vandenbergh@CyberCoders.com for immediate consideration!

Colorado employees will receive paid sick leave. For additional information about available benefits, please contact Mike Vandenbergh

Email Your Resume In Word To

Looking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:

Mike.Vandenbergh@CyberCoders.com
Please do NOT change the email subject line in any way. You must keep the JobID: linkedin : MV1-1750942L311 -- in the email subject line for your application to be considered.***
Mike Vandenbergh - Lead Recruiter - CyberCoders

Applicants must be authorized to work in the U.S.

CyberCoders is proud to be an Equal Opportunity Employer

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

Your Right to Work â In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.

",225000.0,175000.0,YEARLY,Full-time,"Seattle, WA",,1690000000000.0,1,https://www.linkedin.com/jobs/view/3699410945/?trk=jobs_biz_prem_srch,SimpleOnsiteApply,1700000000000.0,Mid-Senior level,01-01-1970 00:28,0,FULL_TIME,USD,BASE_SALARY,200000.0,1970
3699058094,162724,Red Team Engineer,"This is a perfect opportunity to become a key part of a team of Cybersecurity professionals who execute a pivotal role in protecting and defending our organization. The Adversarial Engineer (Primarily Red Team operations) will be a vital member of the Cybersecurity Threat and Vulnerability Management Team. This candidate will be passionate and highly motivated to organize and conduct objective-based Adversary Emulations , collaborate with the blue team to conduct ongoing purple team exercises based on evolving threats and identify control gaps, and produce high-quality, actionable reporting and recommendations on those activities.
What You'll Be Doing
Simulates real world scenarios and emulates TTPs of real adversaries to improve the people, processes, and technology in the target environment using threat intelligence, and the MITRE ATT&CK FrameworkBuild and maintain red team infrastructure automating functions where possibleContinually research new offensive security tactics, techniques, and proceduresDevelop custom tools and tradecraft to automate tasks and increase the capabilities of the teamExecute advanced social engineering campaignsAssist cyber defense teams during incident investigations providing subject matter expertise on attacker tradecraft and mindsetEffectively communicate findings, attack paths, and recommendations to technical, non-technical, and executive client stakeholders through written reports and verbal presentations.Train other engineers in adversary simulation tactics, techniques, and procedures.Participate in purple team exercises that are intelligence driven to test cyber detectionsProduce high-quality reports detailing the results of exercises, including vulnerabilities, risks, and proposed mitigations, and highlighting larger thematic improvement opportunities.
What We'd Like You To Have
Bachelorâs degree in computer science or related discipline, or equivalent work experience.5+ years of Information Security experience in cloud-based environments (Infrastructure as a Service (IaaS) and Platform as a Service (PaaS) in both private and public (AWS, Azure) environments) and in one or more of the following verticals: network penetration testing, application penetration testing, Red Team operations, application security assessments, and network exploitation operations.At least one of the following Penetration Testing/Red Team certifications: OSEP, OSCP, GPEN, GWAPT, CRTO, CRTP, PNPT, eCPTX or equivalentExperience and proficiency with common Red Team and tools and scripts (e.g. Cobalt Strike, Metasploit, Kali, living off the land, Shodan, Nessus, Nmap.)In-depth knowledge and experience around Linux, Windows, networking fundamentals, modern threats and vulnerabilities, and how to exploit/circumvent them.Understand of core internet protocols and encryption.Knowledge of programming and scripting languages (e.g., C#/.NET, C++, Python, Powershell, Ruby).Experience in conducting Phishing and Red Team Adversary Simulations/Emulation.Development with exploits/payloads to be used in red team operations.Strong understanding of security principles, attack methodologies, and vulnerability assessment techniques.Exploitation experience with Active Directory / Azure Active Directory, containerization platforms (Docker, Kubernetes, etc.), and major cloud environments (AWS, Azure, GCP, etc.)Knowledge of industry-standard frameworks and best practices (e.g., NIST, ISO, OWASP).Strong oral and written communication skills, including a demonstrated ability to prepare documentation and presentations for technical and non-technical audiences.Experience with threat detection, incident response, and implementing or developing mitigating controls in a large environment.Familiarity with attacker evasion techniques.
Stay up to date on everything Blackbaud, follow us on Linkedin, Twitter, Instagram, Facebook and YouTube
Blackbaud is a remote-first company which embraces a flexible remote work culture. Blackbaud supports hiring and career development for all roles from the location you are in today!
Blackbaud is proud to be an equal opportunity employer and is committed to maintaining a diverse and inclusive work environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, physical or mental disability, age, or veteran status or any other basis protected by federal, state, or local law.
To all recruitment agencies: We do not accept unsolicited agency resumes and are not responsible for any fees related to unsolicited resumes.
A notice to candidates: Recruitment Fraudulent Alert: Your personal information and online safety as a candidate mean a lot to us! At Blackbaud and our portfolio of companies, recruiters only direct candidates to apply through our official careers page at https://careers.blackbaud.com/us/en or our official LinkedIn page. Recruiters will never request payments, ask for financial account information or sensitive information like social security numbers, or conduct interviews via Skype. Anyone suggesting otherwise is not a representative of Blackbaud. If you are unsure if a message is from Blackbaud, please email blackbaudrecruiting@blackbaud.com. 
The starting base pay is $117,200.00 to $157,500.00. Blackbaud may pay more or less based on employee qualifications, market value, Company finances, and other operational considerations.
Benefits Include
Medical, dental, and vision insuranceRemote-first workforce401(k) program with employer matchFlexible paid time offGenerous Parental LeaveVolunteer for vacationOpportunities to connect to build community and belongingPet insurance, legal and identity protectionTuition reimbursement program
R0010975
",157500.0,117200.0,YEARLY,Full-time,"Rhode Island, United States",2.0,1690000000000.0,1,https://www.linkedin.com/jobs/view/3699058094/?trk=jobs_biz_prem_srch,OffsiteApply,1700000000000.0,Entry level,01-01-1970 00:28,1,FULL_TIME,USD,BASE_SALARY,137350.0,1970
3699057271,10137,Manufacturing Associate I-Vial Inspection-2nd Shift,"Job Description
To inspect the GMP (Good Manufacturing Practices) vials - product and glass vials - for defects. Perform label and packaging activities for finished product.
Responsibilities
KEY DUTIES:
Inspect vialed product and empty glass for defectsPerform daily process activities in compliance with standard operating procedures (SOPs)Prepare all process specific and ancillary equipment (i.e. glassware, apparatus) for use in assigned areasAssist in writing and implementing areaâs process documentsOperate equipment in compliance with SOPsAssure compliance with cGMP requirements (current good manufacturing practices)Work non-routine hours as required to maintain production schedulePerform label and packaging activities for finished productComplete and review associated production records and daily trendingTrain new inspectors in accordance with vial inspector certification proceduresAssist other manufacturing functions (Formulation, Fill, Materials) as required
Qualifications
SKILLS/ABILITIES:
Organization and interpersonal Skills (Oral, Written, etc.)Good Computer and Database Skills Comprehensive training focused on current Good Manufacturing Practices (cGMP) in the pharmaceutical industry.
PERSONAL ATTRIBUTES:
Good math skillsSelf-motivatedGood visual acuityTeam OrientedEffective organization skills and attention to detailAbility to work with minimal supervisionAbility to work flexible hoursAbility to work hands-on
Qualifications:
Basic Qualifications:
High School Diploma or equivalent1 year of manufacturing or equivalent experience.
Preferred Qualifications:
Experience in GMP manufacturing facility desirableVial or general inspection experience desirable
About Us
Alkermes plc is a fully-integrated, global biopharmaceutical company developing innovative medicines in the fields of neuroscience and oncology. The company has a portfolio of proprietary commercial products focused on alcohol dependence, opioid dependence, schizophrenia and bipolar I disorder, and a pipeline of product candidates in development for neurodegenerative disorders and cancer. Headquartered in Dublin, Ireland, Alkermes has an R&D center in Waltham, Massachusetts; a research and manufacturing facility in Athlone, Ireland; and a manufacturing facility in Wilmington, Ohio. For more information, please visit Alkermes' website at www.alkermes.com
Alkermes, Inc. is an equal employment opportunity employer and does not discriminate against any applicant because of race, creed, color, age, national origin, ancestry, religion, gender, sexual orientation, gender expression and identity, disability, genetic information, veteran status, military status, application for military service or any other class protected by state or federal law. Alkermes also complies with all work authorization and employment eligibility verification requirements of the Immigration and Nationality Act and IRCA. Alkermes is an E-Verify employer.",83124.5,60300.0,,Full-time,"Wilmington, OH",,1690000000000.0,Unknown,https://www.linkedin.com/jobs/view/3699057271/?trk=jobs_biz_prem_srch,OffsiteApply,1700000000000.0,Entry level,01-01-1970 00:28,0,FULL_TIME,Unknown,,71712.25,1970
3701199833,86001745,Bioanalytical Laboratory Supervisor,"ICON plc is a world-leading healthcare intelligence and clinical research organisation. From molecule to medicine, we advance clinical research providing outsourced services to pharmaceutical, biotechnology, medical device and government and public health organisations. With our patients at the centre of all that we do, we help to accelerate the development of drugs and devices that save lives and improve quality of life. Our people are our greatest strength, are at the core of our culture, and the driving force behind our success. ICON people have a mission to succeed and a passion that ensures what we do, we do well. Location: Whitesboro, NY. Must reside or be willing to relocate to the area. REQUIRED: Completed Bachelorâs degreeREQUIRED: Must have a solid understanding and experience with ELISA immunoassays. Supervisory duties :-Plans and coordinates the daily operational activities for employees.-Manages projects and workload assignments and the timely completion of work by the group.-Responsible for quality and compliance with applicable regulations.-Plans and maintains sufficient resources to accomplish group tasks-Provides line-level management coordination of resources and work schedules for laboratory activities.-Oversees daily operations and assists in preparation and implementation of company policies, quality systems and training programs.-Ensures that projects are completed in a timely manner so that company revenues are met and clients are satisfied with the quality and turnaround time of work being performed.-Ensures that laboratory staff continues to be developed to keep pace with department goals and growth.  Strategic influence:
- Sets goals, assigns and coordinates tasks, ranks priorities, monitors performance, and evaluates performance.
-Identifies the key elements of a situation and any gaps and inconsistencies in data. Makes rational judgments from available information and analysis. Customer Interactions:
-Applies a variety of scientific principles and concepts to complete deliverables.-Participates in conference calls with Sponsors on scientific matters.-Undertakes other reasonably related duties as may be assigned from time to time.
 Minimum RequirementsBachelorâs degree in chemistry, biology, biochemistry, immunology, or molecular biology, in a bioanalytical setting. For our Immunoassay and Biomarker laboratories, we require at least three years of experience in a regulated environment using immunoassay techniques (ELISA, MSD, Luminex, Quanterix, SMCxPro, Gyros Lab, Ella). 
Benefits of Working in ICON:Our success depends on the knowledge, capabilities and quality of our people. Thatâs why we are committed to developing our employees in a continuous learning culture â one where we challenge you with engaging work and where every experience adds to your professional development.At ICON, our focus is to provide you with a comprehensive and competitive total reward package that comprises, not only an excellent level of base pay, but also a wide range of variable pay and recognition programs. In addition, our best in class employee benefits, supportive policies and wellbeing initiatives are tailored to support you and your family at all stages of your career - both now, and into the future.ICON, including subsidiaries, is an equal opportunity and inclusive employer and is committed to providing a workplace free of discrimination and harassment. All qualified applicants will receive equal consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application process, or in order to perform the essential functions of a position, please let us know.",83124.5,60300.0,,Full-time,"Whitesboro, NY",6.0,1690000000000.0,Unknown,https://www.linkedin.com/jobs/view/3701199833/?trk=jobs_biz_prem_srch,ComplexOnsiteApply,1700000000000.0,Mid-Senior level,01-01-1970 00:28,1,FULL_TIME,Unknown,,71712.25,1970
